Ticker,ScanDate,Score,MxV,RunUp,RSI,ATRX,REL_VOL,Gap,TypicalPriceDist,Volume,MarketCap,Float%,PriceToHigh,PriceTo52WHigh,ScanPrice,ScanChange%,IntraHigh,IntraLow,DayRunUp%,PeakScoreTime,PeakScorePrice,CurrentPrice,EntryChange%,MaxDrop%,BestDay,TP10_Hit,TP15_Hit,TP20_Hit,Volume_raw,MarketCap_raw,Float_pct_raw,PriceToHigh_raw,PriceTo52WHigh_raw,MxV_calc,REL_VOL_calc,Open_price_raw,PrevClose_raw,High_today_raw,Low_today_raw,TypicalPrice_raw,ATR14_raw,Week52High_raw,AvgVolume_raw,FloatShares_raw,SharesOutstanding_raw,ATRX_calc,RunUp_calc,Gap_calc,TypicalPriceDist_calc,cat_merger_acquisition,cat_fda_approval,cat_clinical_trial,cat_marketing_announcement,cat_earnings_report,cat_regulatory_compliance,cat_lawsuit,cat_share_dilution,cat_reverse_split,cat_no_clear_reason,D1_Gap%,FirstScanTime,LastScanTime,ScanCount,ScoreAtFirst,ScoreAtLast,ScoreMax,ScoreMin,ScoreStd,Score_I,Score_B,Score_C,Score_D,Score_E,Score_F,Score_G,Score_H,PeakScore,D0_Close,D0_Volume,D0_Drop%,IntraDay_TP10,SL_Hit_D0,MinToClose,D1_Open,D1_High,D1_Low,D1_Close,D2_Open,D2_High,D2_Low,D2_Close,SL_Hit_D5,IntraDay_SL,D0_Open,D0_High,D0_Low,D0_Drop%_from_High,Price_vs_SMA20,Consecutive_Up,RealFloat,RealFloat_M,Sector,Industry,MarketCapCategory,EntryScore,D3_Open,D3_High,D3_Low,D3_Close,D4_Open,D4_High,D4_Low,D4_Close,D5_Open,D5_High,D5_Low,D5_Close,audit_flag,Score_recalc_date,DaysSinceIPO,score_version
AHMA,2026-03-23,31.25,-31.14,-64.33,23.56,7.49,37.38,38.16,-43.0,36545481.0,62425472.0,333.29,-73.55,-94.33,2.24,-50.72,7.84,2.0,11.05,14:58,2.24,1.02,-54.46,-52.68,3.0,1.0,1.0,1.0,36545481.0,62425472.0,333.29,-73.55,-94.33,-31.14,22.01,6.24,4.545,8.47,1.08,3.93,0.9863,39.5,1660511.0,2020480.0,10965000.0,7.49,-64.1,37.29,-43.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-18.3,nan,nan,nan,nan,nan,nan,nan,nan,30.38,28.11,33.08,18.3,16.56,21.56,43.11,28.89,nan,2.24,37263200.0,0.0,nan,nan,nan,1.83,2.16,1.52,1.7,1.7,1.7,1.22,1.38,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.16,1.25,1.06,1.11,1.17,1.38,1.1,1.1,1.12,1.17,1.08,1.08,BROKEN,2026-04-21 10:40,nan,v1
BIAF,2026-03-23,94.03,-1300.69,67.74,82.06,4.54,8.64,2.64,9.64,63001069.0,21140000.0,1400.43,-12.64,-89.9,4.7,72.16,5.29,3.14,66.35,11:55,4.83,3.84,-18.3,-26.91,5.0,1.0,1.0,1.0,63001069.0,21140000.0,1400.43,-12.64,-89.9,-1300.69,7.07,2.78,2.73,5.38,2.78,4.2967,0.5727,21.9,8908230.0,4266308.0,4498675.0,4.54,70.14,1.83,10.08,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-11.49,nan,nan,nan,nan,nan,nan,nan,nan,98.16,93.07,74.95,100.0,80.46,77.44,95.44,97.7,nan,4.73,64635000.0,0.64,nan,nan,nan,4.16,4.35,3.58,3.96,4.6,4.97,3.8,3.97,0,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.97,4.83,3.7,4.74,4.4,5.08,3.79,4.0,3.89,4.27,3.44,3.54,CLEAN,2026-04-16 20:05,nan,v1
PTLE,2026-03-23,64.25,-52.04,72.42,50.26,4.42,100,11.24,-3.23,9549603.0,51440000.0,155.52,-34.21,-94.75,8.19,91.8,11.33,4.97,126.6,14:59,7.99,7.55,-7.81,-45.05,4.0,1.0,1.0,1.0,9549603.0,51440000.0,155.52,-34.21,-94.75,-52.04,39.8,4.75,4.27,12.449,4.75,8.403,1.7433,150.32,239924.0,458102.0,6140468.0,4.42,68.63,11.24,-4.68,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-19.29,nan,nan,nan,nan,nan,nan,nan,nan,65.03,58.62,62.81,68.88,67.28,50.28,66.21,63.61,nan,8.01,10001400.0,-2.2,nan,nan,nan,6.61,7.8,6.6,7.16,7.17,7.17,5.16,5.55,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.57,5.78,4.68,4.96,4.77,5.44,4.5,4.93,4.97,5.89,4.97,5.46,CLEAN | REL_VOL_CAPPED_from_158.38,2026-04-16 20:05,nan,v1
RDGT,2026-03-23,54.66,90.71,11.93,79.5,6.83,62.53,3.3,10.13,1698817.0,64061904.0,9.29,-25.14,-30.9,3.5,15.62,4.68,2.2,34.1,12:01,2.97,2.76,-21.14,28.57,5.0,0.0,0.0,0.0,1698817.0,64061904.0,9.29,-25.14,-30.9,90.72,0.08,469.5,454.5,702.0,204.0,481.0,72.8689,5.07,21597693.0,34283.0,121904.0,6.83,14.38,3.3,11.64,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11814.29,nan,nan,nan,nan,nan,nan,nan,nan,30.56,44.92,51.22,32.14,24.61,50.34,52.54,52.54,nan,537.0,11646.0,15242.86,nan,nan,nan,417.0,417.0,18.0,19.5,16.5,18.0,15.0,16.5,1,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,13.5,13.5,10.5,12.0,16.5,19.5,6.0,6.0,6.0,6.0,4.5,4.5,BROKEN,2026-04-21 10:40,nan,v1
UGRO,2026-03-23,99.08,-18491.46,80.99,75.5,6.65,100,63.73,15.7,139867649.0,4860000.0,18608.78,-10.65,-67.29,6.46,196.24,6.88,3.1,87.47,13:28,3.44,19.1,195.67,-2.62,1.0,0.0,0.0,0.0,139867649.0,4860000.0,18608.78,-10.65,-67.29,-18491.46,27.26,3.58,2.18,7.23,3.06,5.48,0.6275,37.0,5131761.0,675949.0,751622.0,6.65,71.79,64.22,12.23,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,25.23,nan,nan,nan,nan,nan,nan,nan,nan,100.0,100.0,94.09,100.0,100.0,91.4,80.0,100.0,nan,6.15,163122800.0,-4.8,nan,nan,nan,8.09,8.55,6.29,7.02,8.08,36.3,7.4,36.29,1,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,25.3,37.0,21.22,28.0,25.1,28.3,16.16,17.61,18.58,29.0,18.48,20.62,CLEAN | REL_VOL_CAPPED_from_1378.52,2026-04-16 20:05,nan,v1
ANNA,2026-03-24,32.75,10.77,10.43,69.97,1.44,25.53,26.49,-0.95,59477670.0,507910000.0,146.28,-11.5,-58.36,7.62,39.69,8.47,7.12,15.24,08:48,7.2,6.69,-12.2,-19.03,1.0,1.0,1.0,0.0,59477670.0,507910000.0,146.28,-11.5,-58.36,10.77,14.65,6.91,5.455,8.62,6.85,7.7167,1.2329,18.3,4061170.0,9533929.0,40659881.0,1.44,11.14,26.67,-0.48,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-6.17,nan,nan,nan,nan,nan,nan,nan,nan,19.33,16.3,20.39,27.26,18.8,17.18,41.07,22.51,nan,7.68,60936000.0,0.79,nan,nan,nan,7.15,7.15,6.17,6.97,8.07,8.95,6.85,7.12,1,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.68,8.72,6.92,8.51,8.55,10.28,7.84,10.24,9.37,10.64,8.08,8.29,CLEAN,2026-04-16 20:05,nan,v1
CVV,2026-03-24,64.63,-41.46,26.8,64.78,3.02,100,8.04,6.61,9811104.0,35440000.0,141.42,-4.13,-12.8,5.11,36.93,5.27,4.38,20.32,13:33,5.01,3.94,-22.9,-25.05,5.0,1.0,1.0,1.0,9811104.0,35440000.0,141.42,-4.13,-12.8,-41.46,36.65,4.06,3.73,5.35,3.94,4.8067,0.4662,6.25,267701.0,5291246.0,6937338.0,3.02,26.35,8.85,6.73,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.2,nan,nan,nan,nan,nan,nan,nan,nan,49.92,45.75,41.84,60.05,33.15,50.21,56.8,61.16,nan,5.13,10015100.0,0.39,nan,nan,nan,5.12,6.25,4.76,6.2,6.0,6.15,5.06,5.26,1,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.21,5.7,4.85,4.98,5.13,5.17,4.46,4.56,4.4,4.47,3.83,4.14,CLEAN | REL_VOL_CAPPED_from_139.59,2026-04-16 20:05,nan,v1
FEED,2026-03-24,48.62,-11492.76,-0.45,56.22,2.06,12.18,55.24,0.15,126943357.0,2420000.0,11665.53,-12.65,-98.64,2.21,54.9,2.49,2.0,8.26,10:13,2.03,1.82,-17.65,-5.88,2.0,0.0,0.0,0.0,126943357.0,2420000.0,11665.53,-12.65,-98.64,-11492.76,9.82,2.2,1.43,2.53,1.88,2.2233,0.3153,162.5,12922546.0,848146.0,1088192.0,2.06,2.73,53.85,1.65,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,20.81,nan,nan,nan,nan,nan,nan,nan,nan,67.39,42.16,27.92,63.54,38.99,23.54,62.39,44.73,nan,2.26,131169000.0,2.26,nan,nan,nan,2.67,2.9,2.42,2.64,2.61,2.62,2.08,2.3,1,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.17,2.69,2.17,2.43,2.42,2.67,2.32,2.46,2.35,2.54,2.35,2.38,CLEAN,2026-04-16 20:05,nan,v1
RBNE,2026-03-24,80.97,-6249.64,35.95,45.31,2.42,100,39.09,5.41,177667797.0,5820000.0,2530.25,-17.46,-98.31,2.08,89.1,2.48,2.0,24.0,12:09,2.26,2.09,0.48,-18.27,1.0,1.0,1.0,0.0,177667797.0,5820000.0,2530.25,-17.46,-98.31,-6249.64,31.31,1.52,1.1,2.52,1.32,1.9833,0.4964,123.25,5674403.0,2487026.0,7021760.0,2.42,38.82,38.18,6.39,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-4.81,nan,nan,nan,nan,nan,nan,nan,nan,89.68,77.46,59.01,94.43,66.03,60.5,84.45,82.24,nan,2.11,184367700.0,1.44,nan,nan,nan,1.98,2.38,1.7,2.32,2.54,2.8,2.07,2.12,1,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.62,2.73,2.41,2.47,2.6,2.97,2.44,2.53,2.48,2.5,2.16,2.45,CLEAN | REL_VOL_CAPPED_from_126.13,2026-04-16 20:05,nan,v1
UGRO,2026-03-24,50.09,-3387.23,-11.22,78.88,3.0,9.44,31.87,-2.0,26202670.0,5410000.0,3486.15,-15.79,-63.54,7.2,17.07,8.46,6.39,0.0,11:53,6.39,19.1,165.28,2.78,1.0,0.0,0.0,0.0,26202670.0,5410000.0,3486.15,-15.79,-63.54,-3387.23,5.11,8.09,6.15,8.55,6.291,7.287,0.7541,37.0,5131761.0,675949.0,751622.0,3.0,-13.23,31.54,-3.66,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,12.22,nan,nan,nan,nan,nan,nan,nan,nan,64.84,43.57,22.39,53.19,32.98,23.71,58.72,42.84,nan,7.02,27312600.0,-2.5,nan,nan,nan,8.08,36.3,7.4,36.29,25.3,37.0,21.22,28.0,1,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,25.1,28.3,16.16,17.61,18.58,29.0,18.48,20.62,20.99,27.76,20.0,22.08,CLEAN,2026-04-16 20:05,nan,v1
