Ticker,ScanDate,Score,ScanPrice,ScanChange%,MxV,RunUp,RSI,ATRX,REL_VOL,Gap,TypicalPriceDist,PriceToHigh,PriceTo52WHigh,Float%,Volume_raw,MarketCap_raw,AvgVolume_raw,FloatShares_raw,SharesOutstanding_raw,Open_price_raw,PrevClose_raw,High_today_raw,Low_today_raw,TypicalPrice_raw,ATR14_raw,Week52High_raw,MxV_calc,REL_VOL_calc,RunUp_calc,Gap_calc,ATRX_calc,TypicalPriceDist_calc,cat_merger_acquisition,cat_fda_approval,cat_clinical_trial,cat_marketing_announcement,cat_earnings_report,cat_regulatory_compliance,cat_lawsuit,cat_share_dilution,cat_reverse_split,cat_no_clear_reason,MaxDrop%,BestDay,TP10_Hit,TP15_Hit,TP20_Hit,D1_Gap%,SL_Hit_D5,IntraDay_SL,FirstScanTime,LastScanTime,ScanCount,ScoreAtFirst,ScoreAtLast,ScoreMax,ScoreMin,ScoreStd,audit_flag,IntraHigh,IntraLow,PeakScoreTime,PeakScorePrice,PeakScore,DayRunUp%,D0_Close,D0_Volume,D0_Drop%,IntraDay_TP10,SL_Hit_D0,MinToClose,D1_Open,D1_High,D1_Low,D1_Close,D0_Open,D0_High,D0_Low,D0_Drop%_from_High,Price_vs_SMA20,Consecutive_Up,RealFloat,RealFloat_M,Sector,Industry,MarketCapCategory,DaysSinceIPO,score_version,D2_Open,D2_High,D2_Low,D2_Close,D3_Open,D3_High,D3_Low,D3_Close,D4_Open,D4_High,D4_Low,D4_Close,D5_Open,D5_High,D5_Low,D5_Close
AIOS,2026-05-01,76.59,23.0,146.78,-92.7,54.67,99.17,7.47,72.94,3440.48,-0.99,-27.72,-27.72,65.54,6261002,74730000,85842,2123323.0,3239918,14.87,0.42,31.82,14.87,23.23,2.27,31.82,-92.7,72.94,54.67,3440.48,7.47,-0.99,0,0,0,0,0,0,0,0,0,0,-38.26,1.0,1.0,1.0,1.0,-34.26,1.0,1.0,08:45,14:59,372,38.34,76.59,86.11,13.19,22.85,SUSPICIOUS,33.41,11.77,14:45,27.68,86.11,179.11,22.33,12492.0,-2.91,1,1,15,15.12,15.12,14.2,15.01,14.87,31.82,14.87,-29.82,1292.54,0.0,2123323.0,2.12,Technology,Information Technology Services,Micro,3411.0,v2,25.53,30.89,20.55,20.55,17.22,17.22,17.22,17.22,21.99,22.6,19.04,19.04,18.03,18.03,18.03,18.03
TLIH,2026-05-01,84.65,3.56,46.68,-560.71,24.91,97.82,5.35,93.4,1011.98,-2.73,-22.1,-47.99,18.6,19431628,10470000,208041,546980.0,2940434,2.85,0.2563,4.57,2.85,3.66,0.3213,6.845,-560.71,93.4,24.91,1011.98,5.35,-2.73,0,0,0,0,0,0,0,0,0,0,-9.55,1.0,0.0,0.0,0.0,-8.43,1.0,1.0,08:45,14:59,377,19.86,84.65,100.0,19.86,11.09,CLEAN,4.57,2.82,10:17,4.22,100.0,59.23,3.52,22677.0,-1.12,1,1,283,3.26,3.68,3.22,3.68,2.85,4.57,2.85,-22.98,755.52,2.0,578619.0,0.58,Industrials,Industrial Distribution,Micro,296.0,v2,4.24,4.5,3.87,3.91,3.88,4.48,3.88,4.25,4.02,4.19,3.89,4.16,4.16,4.16,4.16,4.16
ARKR,2026-05-04,61.5,8.6,25.36,97.01,25.55,86.07,12.24,59.4,-0.15,4.88,-6.01,-28.21,42.87,107809,31020000,1815,1546104.0,3606157,6.85,6.86,9.15,6.85,8.2,0.1878,11.98,97.01,59.4,25.55,-0.15,12.25,4.88,0,0,0,0,0,0,0,0,0,0,-18.49,1.0,1.0,1.0,0.0,-11.92,0.0,0.0,10:30,14:59,266,47.58,61.5,73.21,40.65,11.04,CLEAN,9.5,7.72,12:57,9.5,73.21,20.41,7.83,3010.0,-8.95,1,1,123,7.58,7.58,7.01,7.25,6.85,9.15,6.85,-14.43,11.55,0.0,1546104.0,1.55,Consumer Cyclical,Restaurants,Micro,14751.0,v2,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.01,7.01,7.01,7.01
CNSP,2026-05-04,63.03,7.93,243.13,-10016.17,-13.52,91.56,4.51,100.0,316.82,-7.54,-23.82,-23.82,88.33,82281544,6450000,32086,716785.0,811449,9.17,2.2,10.41,7.39,8.5767,0.6699,10.41,-10016.17,100.0,-13.52,316.82,4.51,-7.54,0,0,0,0,0,0,0,0,0,0,-29.51,1.0,1.0,1.0,1.0,-29.51,0.0,0.0,08:45,14:59,371,57.22,63.03,67.46,53.13,2.17,CLEAN,10.33,7.43,08:47,10.33,67.46,6.49,7.765,228266.0,-2.08,0,1,373,5.59,7.13,5.59,7.09,9.17,10.41,7.39,-25.41,198.97,0.0,716785.0,0.72,Healthcare,Biotechnology,Micro,2368.0,v2,7.19,7.7,7.05,7.05,7.25,7.5,7.02,7.28,7.21,7.41,7.21,7.31,7.43,7.43,5.97,6.89
CRE,2026-05-04,83.65,3.85,59.7,-638.79,33.22,78.46,9.08,32.57,27.88,2.94,-20.45,-54.33,67.28,14871829,7750000,456626,1102703.0,1638985,2.89,2.26,4.84,2.53,3.74,0.2545,8.43,-638.79,32.57,33.22,27.88,9.08,2.94,0,0,0,0,0,0,0,0,0,0,-25.71,2.0,1.0,1.0,1.0,-6.49,1.0,1.0,08:45,14:59,371,38.51,83.65,94.0,8.72,26.04,CLEAN,4.78,2.59,14:13,4.32,94.0,70.71,3.71,85244.0,-3.64,1,1,47,3.6,4.34,3.47,3.85,2.89,4.84,2.53,-23.35,57.47,0,1102703.0,1.1,Industrials,Specialty Business Services,Micro,284,v2,3.76,3.79,2.86,2.88,3.15,3.56,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1
ELPW,2026-05-04,82.01,7.26,64.25,-2507.91,46.67,83.62,5.52,9.03,11.74,-2.2,-27.83,-52.11,99.86,36819731,10250000,4078374,1397616.0,1399507,4.95,4.43,10.06,4.95,7.4233,0.9265,15.16,-2507.91,9.03,46.67,11.74,5.52,-2.2,0,0,0,0,0,0,0,0,0,0,-34.99,2.0,1.0,1.0,1.0,8.95,1.0,1.0,08:51,14:59,365,16.65,82.01,94.51,16.65,15.0,SUSPICIOUS,10.11,5.4,11:36,8.47,94.51,87.22,7.34,103868.0,1.1,1,1,204,7.91,8.59,5.85,5.96,4.95,10.06,4.95,-27.04,158.2,2.0,1397616.0,1.4,Industrials,Electrical Equipment & Parts,Micro,1098.0,v2,6.55,6.78,4.72,5.59,5.83,8.19,5.57,7.0,6.95,7.11,6.06,6.35,5.76,6.01,5.45,5.45
HCAI,2026-05-04,75.0,18.28,52.09,-139.91,57.93,81.94,5.45,2.31,-5.43,2.72,-24.46,-24.46,25.95,2788911,21250000,1205841,163250.0,629167,11.575,12.24,24.2,10.91,17.7967,2.4364,24.2,-139.91,2.31,57.93,-5.43,5.45,2.72,0,0,0,0,0,0,0,0,0,0,-40.26,5.0,1.0,1.0,1.0,-9.33,0.0,0.0,12:50,14:59,130,42.71,75.0,79.8,42.71,7.93,SUSPICIOUS,24.96,14.38,14:10,19.8,79.8,73.57,18.48,19779.0,1.09,1,1,50,16.57,17.98,15.03,15.55,11.575,24.2,10.91,-23.64,208.29,2.0,163250.0,0.16,Industrials,Farm & Heavy Construction Machinery,Micro,452.0,v2,13.66,16.78,13.66,14.7,14.87,14.87,14.87,14.87,13.19,13.78,12.0,12.0,10.92,11.53,10.92,11.21
SKK,2026-05-04,100.0,13.06,646.24,-690.18,609.78,95.12,12.62,100.0,6.98,26.76,-18.43,-18.43,55.48,19276620,31860000,63625,1352229.0,2437500,1.84,1.72,16.01,1.84,10.3033,1.1227,16.01,-690.18,100.0,609.78,6.98,12.62,26.76,0,0,0,0,0,0,0,0,0,0,-64.43,1.0,1.0,1.0,1.0,-48.97,0.0,0.0,09:30,14:59,326,31.38,100.0,100.0,31.38,27.56,SUSPICIOUS,16.05,2.2,12:48,12.96,100.0,629.55,12.02,141877.0,-7.96,1,1,132,6.67,7.38,4.64,5.58,1.84,16.01,1.84,-24.92,389.54,0.0,1352229.0,1.35,Industrials,Engineering & Construction,Micro,572.0,v2,6.0,7.12,4.86,5.86,5.47,5.8,5.32,5.42,5.18,5.99,5.18,5.56,5.11,5.11,5.11,5.11
BDRX,2026-05-05,68.59,4.36,39.74,-3948.48,16.73,71.76,3.43,39.67,21.27,6.08,-2.46,-62.25,42473000.0,18199583,1960000,458811,275358405220.0,648314,3.735,3.08,4.47,3.5,4.11,0.2827,11.55,-3948.48,39.67,16.73,21.27,3.43,6.08,0,0,0,0,0,0,0,0,0,0,-6.88,4.0,0.0,0.0,0.0,3.67,1.0,1.0,10:35,14:59,229,43.65,68.59,69.92,42.65,7.96,CLEAN,4.39,3.77,13:00,4.39,69.92,15.22,4.59,18041.0,5.28,1,0,120,4.52,4.68,4.39,4.52,3.735,4.59,3.5,0.0,31.08,0,275358405220.0,275358.41,Healthcare,Biotechnology,Micro,3801,v2,4.6,5.01,4.6,4.87,4.52,4.52,4.32,4.32,4.06,4.06,4.06,4.06,4.06,4.06,4.06,4.06
PHOE,2026-05-05,71.11,47.1,169.14,99.39,119.48,98.12,9.24,3.34,24.48,38.27,0.0,22.82,25.46,132106,1020000000,39610,5500008.0,21600000,21.46,17.24,47.1,21.46,34.065,1.3181,38.35,99.39,3.34,119.48,24.48,19.45,38.27,0,0,0,0,0,0,0,0,0,0,-58.77,5.0,1.0,1.0,1.0,-28.59,0.0,0.0,10:35,14:59,193,33.88,71.11,71.11,11.41,23.99,SUSPICIOUS,66.82,20.18,14:55,47.1,71.11,218.34,33.635,635.0,-28.59,1,1,5,33.63,33.63,33.63,33.63,21.46,33.635,21.46,0.0,99.89,0,5500008.0,5.5,Industrials,Engineering & Construction,Small,374,v2,33.63,33.63,33.63,33.63,46.74,46.74,24.5,24.5,21.3,21.3,20.52,20.52,19.42,19.42,19.42,19.42
