feature,lr_coef,lr_abs_coef,lr_rank,univariate_auc,rf_imp,rf_rank
MarketCap,-0.7261157579476156,0.7261157579476156,1,0.5458,,
Gap,0.7144099365129495,0.7144099365129495,2,0.5319,,
MxV,0.4674314748383627,0.4674314748383627,3,0.478,,
Volume,0.38937803689054357,0.38937803689054357,4,0.5518,,
ScanPrice,0.385292089303613,0.385292089303613,5,0.5146,,
VWAP_dev,-0.2971415071454558,0.2971415071454558,6,0.4959,,
REL_VOL,0.1772286488069146,0.1772286488069146,7,0.5761,,
RunUp,0.1614588406232607,0.1614588406232607,8,0.565,,
Score,0.1535898398273098,0.1535898398273098,9,0.4892,,
RSI,-0.14418685847195264,0.14418685847195264,10,0.4317,,
ATRX,-0.013982893872784377,0.013982893872784377,11,0.6086,,
