Ticker,ScanDate,ScanPrice,Score,MxV,RunUp,REL_VOL,RSI,ATRX,Gap,VWAP_dev,Volume,MarketCap,Hour,Float%,PriceToHigh,PriceTo52WHigh,ScanChange%,DayRunUp%,EntryScore,ScoreMax,ScoreMin,ScoreStd,ScanCount,Sector,Industry,MarketCapCategory,drop_max_pct,rise_max_pct,drop_d1_open,drop_d1_close,drop_d5_close,hit_tp10,hit_sl7,net_outcome,D1_Gap%,FirstScanTime,LastScanTime,PeakScoreTime
AHMA,2026-03-23,2.24,31.25,-31.14,-64.33,37.38,23.56,7.49,38.16,-43.0,36545481.0,62425472.0,,333.29,-73.55,-94.33,-50.72,11.05,,,,,,nan,nan,nan,-52.68,-3.571428571428574,-18.303571428571434,-24.107142857142865,-51.78571428571429,True,False,TP_HIT,-18.3,nan,nan,14:58
BIAF,2026-03-23,4.7,94.03,-1300.69,67.74,8.64,82.06,4.54,2.64,9.64,63001069.0,21140000.0,,1400.43,-12.64,-89.9,72.16,66.35,,,,,,nan,nan,nan,-26.91,8.08510638297872,-11.48936170212766,-15.744680851063833,-24.680851063829788,True,True,SL_HIT,-11.49,nan,nan,11:55
PTLE,2026-03-23,8.19,64.25,-52.04,72.42,100.0,50.26,4.42,11.24,-3.23,9549603.0,51440000.0,,155.52,-34.21,-94.75,91.8,126.6,,,,,,nan,nan,nan,-45.05,-4.761904761904758,-19.291819291819284,-12.57631257631257,-33.33333333333333,True,False,TP_HIT,-19.29,nan,nan,14:59
RDGT,2026-03-23,3.5,54.66,90.71,11.93,62.53,79.5,6.83,3.3,10.13,1698817.0,64061904.0,,9.29,-25.14,-30.9,15.62,34.1,,,,,,nan,nan,nan,28.57,11814.285714285714,11814.285714285714,457.1428571428571,28.57142857142857,False,True,SL_HIT,11814.29,nan,nan,12:01
UGRO,2026-03-23,6.46,99.08,-18491.46,80.99,100.0,75.5,6.65,63.73,15.7,139867649.0,4860000.0,,18608.78,-10.65,-67.29,196.24,87.47,,,,,,nan,nan,nan,-2.62,472.7554179566563,25.23219814241486,8.668730650154794,219.19504643962847,False,True,SL_HIT,25.23,nan,nan,13:28
ANNA,2026-03-24,7.62,32.75,10.77,10.43,25.53,69.97,1.44,26.49,-0.95,59477670.0,507910000.0,,146.28,-11.5,-58.36,39.69,15.24,,,,,,nan,nan,nan,-19.03,39.632545931758536,-6.167979002624668,-8.530183727034126,8.792650918635157,True,True,SL_HIT,-6.17,nan,nan,08:48
CVV,2026-03-24,5.11,64.63,-41.46,26.8,100.0,64.78,3.02,8.04,6.61,9811104.0,35440000.0,,141.42,-4.13,-12.8,36.93,20.32,,,,,,nan,nan,nan,-25.05,22.3091976516634,0.19569471624265727,21.330724070450096,-18.98238747553817,True,True,SL_HIT,0.2,nan,nan,13:33
FEED,2026-03-24,2.21,48.62,-11492.76,-0.45,12.18,56.22,2.06,55.24,0.15,126943357.0,2420000.0,,11665.53,-12.65,-98.64,54.9,8.26,,,,,,nan,nan,nan,-5.88,31.221719457013574,20.814479638009047,19.457013574660643,7.692307692307689,False,True,SL_HIT,20.81,nan,nan,10:13
RBNE,2026-03-24,2.08,80.97,-6249.64,35.95,100.0,45.31,2.42,39.09,5.41,177667797.0,5820000.0,,2530.25,-17.46,-98.31,89.1,24.0,,,,,,nan,nan,nan,-18.27,42.78846153846154,-4.807692307692312,11.538461538461526,17.78846153846154,True,True,SL_HIT,-4.81,nan,nan,12:09
UGRO,2026-03-24,7.2,50.09,-3387.23,-11.22,9.44,78.88,3.0,31.87,-2.0,26202670.0,5410000.0,,3486.15,-15.79,-63.54,17.07,0.0,,,,,,nan,nan,nan,2.78,413.8888888888889,12.22222222222222,404.02777777777777,206.66666666666663,False,True,SL_HIT,12.22,nan,nan,11:53
